Estimate	Pval	FDR
Acacb	0.336819700095438	5.98043559161265e-05	0.00365362156096019
Acad11	0.00427253582355793	0.895538837261134	0.989192994823347
Acad8	0.0983681909877461	0.506464381492442	0.909360467001429
Acad9	-0.0334806974421493	0.428884724852682	0.875497752699335
Acadl	0.0932128941318733	0.399846644580348	0.861634191601501
Acadm	-0.0572374227138324	0.278251173926593	0.782694940925832
Acads	-0.179265261829881	0.139158346084762	0.628061007932712
Acadsb	-0.00125467135917382	0.973107388855124	0.998720153991374
Acadvl	0.0204142798829689	0.352292682261906	0.836860776048216
Acan	0.121261794888419	0.52803507778239	0.918108876115451
Acap2	0.0827658451031071	0.0586675070501153	0.425180203772177
Acap3	0.12698411778512	0.0274093295624891	0.280663541706434
Acat1	0.0619910253832662	0.444770334478024	0.882072530296558
Acat2	-0.105246224384209	0.1481650245819	0.642033486595776
Acat3	0.00123990048957468	0.987370543311123	0.999560212462957
Acbd3	-0.0738911833612798	0.254055998746759	0.761553295057731
Acbd4	0.172324040633689	2.08870698514829e-11	1.2322376590001e-08
Acbd5	0.0753562654483371	0.152733956416927	0.651122530756472
Acbd6	0.0795819169212748	0.2901880690189	0.792258164874824
Acd	0.0798547234369975	0.186324511529683	0.696204980395018
Ace	-0.211316952472557	0.00162091093036709	0.0437579261310127
Acer2	-0.0475435419527303	0.851276949230605	0.986106313258111
Acer3	0.141722722229799	0.0153073316395949	0.195657349074054
Ache	-0.000967989086237112	0.981470419466752	0.999560212462957
Acin1	-0.0754354821016644	0.124344991888148	0.597171898502482
Ackr1	0.170439459370427	0.0278591732326279	0.283139702361794
Ackr3	0.139729377174958	0.215602595664195	0.72297501136116
Ackr4	-0.165195253848824	0.154187178270324	0.653291707110482
Acly	0.0145234142849685	0.525330547540796	0.917569456292532
Aco1	-0.0161632705736015	0.871112977817211	0.986106313258111
Aco2	0.0602096710666978	0.012738901700966	0.174555840478843
Acot1	0.0315571732645257	0.848271871441451	0.986012019945966
Acot11	-0.302731517832636	0.0412831252340269	0.349355627407349
Acot13	-0.0727017709997353	0.298908935693752	0.798370335097635
Acot2	0.020979158748465	0.839962854253474	0.984029686277922
Acot3	-0.370483439201304	0.01713763485321	0.210633093448828
Acot4	-0.456007090130539	0.0124054475545408	0.171721887992408
Acot5	-0.11856095716899	0.303989405684952	0.803141835141162
Acot6	-0.0977818489698545	0.478291878856255	0.897210943315592
Acot7	-0.0209168006304052	0.613796796923017	0.943710496193315
Acot8	-0.0203580461533442	0.848745580102034	0.986012019945966
Acot9	0.0168586900845059	0.873760005454429	0.986106313258111
Acox1	0.0274243007354711	0.35258667686482	0.836860776048216
Acox3	-0.0183856547215144	0.805739817222114	0.980184140730502
Acp1	-0.0426744263504025	0.189547727943267	0.698900833776527
Acp2	0.0155710493441603	0.676936319655868	0.958245436953444
Acp6	0.101257679192816	0.423578862069248	0.873311795466626
Acrbp	0.207796754915724	0.155169840628673	0.654768104750897
Acsbg1	-0.0534852799921829	0.489860453954093	0.90406327891363
Acsf2	-0.162561264463664	0.0201090354444482	0.230463311860563
Acsf3	0.0208449972577161	0.836717730219323	0.984029686277922
Acsl1	0.0489373611379167	0.146189240547078	0.638210684145892
Acsl3	-0.121570834461711	0.0167855540717481	0.207748480913973
Acsl4	0.0201012844014967	0.48172251602985	0.897923950480343
Acsl5	-0.0482367454877065	0.53250806975556	0.918541068182485
Acsl6	-0.0520980928309382	0.502040812886758	0.907504349291309
Acsm3	-0.0161018208728158	0.92817001904175	0.994124729992627
Acss1	-0.20010228380516	0.00811427061933845	0.129018117266764
Acss2	-0.0987524280880448	0.165899219738982	0.671433132297254
Acta1	-0.0903130675162318	0.542958011592	0.924399006548564
Acta2	-0.238948533832038	0.377709803926693	0.849603788248768
Actb	0.0424528162709499	0.334910036744277	0.825547243379396
Actg1	0.11450509218825	3.34784854183479e-05	0.00237008546198807
Actl6a	0.101881574365259	0.300975617219218	0.799702382292994
Actl6b	0.11277144524506	1.69178477893439e-07	3.12828680988331e-05
Actn1	0.0614035669701553	0.358498850909523	0.839116241057639
Actn2	0.0979871290076708	0.34881050759458	0.835540096401634
Actn4	-0.0331241010079575	0.621134811480414	0.944830971566836
Actr10	-0.0288331028960486	0.581316639326828	0.936192918289668
Actr1a	-0.013283111005559	0.761434666011468	0.973039116683867
Actr1b	-0.0341751115261153	0.241915366392423	0.746473094454728
Actr2	0.0493647919199418	0.224849536919919	0.72980374977754
Actr3	-0.0697349652805756	0.128129176526771	0.604070727712677
Actr3b	0.105681208035821	0.0198094714751857	0.229170058943005
Actr5	-0.201338283770183	0.0997321415557304	0.54263535662674
Actr6	-0.0447831857026824	0.615945660330711	0.943710496193315
Actr8	0.000810386519756092	0.989587467365726	0.999560212462957
Acvr1	0.152545789699244	0.00719329686159909	0.119419543991335
Acvr1b	0.000449209168757715	0.993615672848041	0.999560212462957
Acvr1c	-0.0508617866265115	0.631557253560991	0.946232462409834
Acvr2a	-0.0362813351531683	0.710228865460993	0.963942790085378
Acvrl1	0.264552326606115	0.219282961795651	0.725472353799372
Acy1	-0.198966084472669	0.0404652949819255	0.346102069948862
Acyp1	0.0374959860506346	0.607615289860135	0.94191013839805
Acyp2	-0.20039076049551	0.0580754461267323	0.423546103377185
Adal	0.0135747186256289	0.907926714715825	0.990883891956524
Adam10	0.108153814271742	0.0788653897168421	0.491727887872147
Adam11	-0.033957275892927	0.42707308725223	0.875199815209557
Adam15	0.0533835748811148	0.364764175661066	0.842163322457349
Adam17	-0.0327764381391237	0.753077647424028	0.972077290661492
Adam19	0.0659967752017115	0.330180827213086	0.822563898721682
Adam1a	0.0562406074022867	0.638971389262298	0.948458403653459
Adam22	0.0190084298061023	0.708060330848602	0.963587285831813
Adam23	0.00639957340585981	0.930003436944036	0.994124729992627
Adam33	-0.739044679701925	0.00104960844421131	0.0321076518897135
Adam8	0.116840817086335	0.699327884945312	0.962374450024589
Adam9	0.000435452725121147	0.994456160663464	0.999560212462957
Adamts1	0.0415992219203038	0.893108296907416	0.989192994823347
Adamts10	-0.0688684747487043	0.574771301122218	0.93501727282545
Adamts15	0.018605791637806	0.887606545563289	0.98854346395034
Adamts16	-0.0343197834911167	0.874165364059184	0.986106313258111
Adamts2	0.399425186393198	0.000105050951467511	0.00540031633913277
Adamts20	-0.215424021882984	0.0327005726212548	0.309257552828035
Adamts3	-0.0829900670101459	0.613928047909906	0.943710496193315
Adamts4	-0.112018619509383	0.391972610680072	0.858583570317435
Adamtsl1	-0.0936588414210471	0.639093611566637	0.948458403653459
Adamtsl2	-0.265695559389922	0.00555151270971654	0.103114978951542
Adamtsl5	-0.16026302690814	0.511888329940883	0.910902447678728
Adap1	-0.0587396003635378	0.206154515858812	0.714867709544256
Adar	-0.0319024418973298	0.736682344723757	0.969530320731735
Adarb1	-0.058004569091712	0.474230389231182	0.895955982157527
Adarb2	-0.0768417296186823	0.550669222739359	0.925551621288553
Adck1	-0.0367231313559861	0.709334197120786	0.963816424759842
Adck2	0.0300046881222418	0.716415270084793	0.965317362961169
Adck3	-0.0397941646523384	0.623455742397198	0.944830971566836
Adck4	0.131200986215186	0.105118517004131	0.55488423824635
Adck5	-0.0188285962284116	0.906162966904754	0.990550076624971
Adcy1	-0.0824949973905249	0.211008793232084	0.719583069228247
Adcy2	0.0623452590247367	0.240935614855422	0.745492340770187
Adcy3	-0.0334397962816206	0.578374350584069	0.9361350075703
Adcy4	-0.0697490127081085	0.823493651186679	0.980352974154106
Adcy5	0.0924013401514496	0.277655184502471	0.781788654727527
Adcy6	0.00774762645255092	0.90727677790615	0.990854372485833
Adcy7	-0.169752672249571	0.30177254854316	0.800844380545668
Adcy8	-0.221252315092029	0.00780073678086035	0.12666229092802
Adcy9	0.095274729865739	0.414370647569247	0.868861778108543
Adcyap1	-0.549933864872866	0.00283394203458975	0.0647780587943403
Adcyap1r1	0.0530118348039238	0.494328223730136	0.906487916487959
Add1	0.0142118790806637	0.265539289324063	0.770154502176513
Add2	0.048691015280406	0.412497711738784	0.868802253301063
Add3	-0.0494639325827662	0.510120814521652	0.910902447678728
Adgra1	0.165013151953806	0.0170657152318676	0.21016614911293
Adgra2	0.081492746161021	0.419426182079013	0.871272798420002
Adgra3	-0.34144693362525	1.27681235118082e-06	0.000155082629595875
Adgrb1	-0.0603389214394525	0.0167474802366108	0.207575545530182
Adgrb2	0.0202488761539689	0.426134819992753	0.87435976894505
Adgrb3	0.0502301862373762	0.406949364825614	0.864636542758451
Adgrd1	-0.271538566345667	3.80033990921014e-06	0.000393758641768638
Adgre5	-0.0577516473051251	0.702913701966797	0.962493374566841
Adgrf5	0.0629455987486305	0.796532659782542	0.980184140730502
Adgrg1	-0.095755192990269	0.241224670508661	0.745698669639149
Adgrl1	0.0357935416111183	0.19331655657234	0.700958067649242
Adgrl2	0.080137975498697	0.157135304424111	0.659691388176994
Adgrl3	0.02410132795621	0.785007476202577	0.977409913464011
Adgrl4	0.015600222764634	0.94669854380188	0.99502283478351
Adh5	0.0293625973103447	0.649247989595747	0.951880163031712
Adhfe1	0.109194964640843	0.173836431964471	0.680246227292429
Adi1	-0.0384023574046303	0.540647273760247	0.923236261146203
Adipor1	0.0343012677043193	0.502132410747764	0.907504349291309
Adipor2	0.197308381271674	0.00024772907052717	0.0106868549191055
Adk	-0.139077118796312	2.60294162697239e-05	0.00193565819663393
Adnp	0.173821317360206	0.238357289579619	0.743456309315684
Adnp2	-0.0159345442647573	0.716368925007844	0.965317362961169
Ado	-0.0414993838706858	0.438357949765068	0.87916977119706
Adora1	0.0624853087044206	0.186642397096671	0.696204980395018
Adora2a	0.449630639410438	0.317855308399317	0.814014877572569
Adora2b	-0.205946221328636	0.0910297755386973	0.522356595251932
Adpgk	0.061922476541724	0.767260154565052	0.974365927603477
Adprh	0.0134453184140658	0.72134304079022	0.966007875566014
Adprhl2	-0.0384845014941856	0.770462243566588	0.975262299174157
Adprm	-0.303506098614102	0.000124083146516796	0.00614906440878633
Adra1a	-0.0757663266336793	0.693121676777685	0.960846419782784
Adra1b	-0.35200604738307	8.65973959207622e-15	9.7532285278393e-12
Adra1d	-0.164896215154131	0.0391833932335093	0.338996549420354
Adra2a	-0.147071970166302	0.263259293416412	0.767958414442176
Adra2c	0.445007488271151	8.36454261077257e-06	0.000750929843513489
Adrb1	-0.101866882520114	0.188106472397488	0.697895730442677
Adrb3	-0.139682967380849	0.307993038075595	0.806481752114786
Adrbk1	-0.00048424161782373	0.989854097834483	0.999560212462957
Adrbk2	0.110718262995961	0.186793555156432	0.696204980395018
Adrm1	0.0370897879857668	0.522264525840399	0.916088802298839
Adsl	0.0522121389524002	0.582731118911031	0.936192918289668
Adss	-0.0486758564008194	0.580023101883037	0.936192918289668
Adssl1	-0.0717943350958859	0.667157770350942	0.955765855511182
Aebp1	0.0205516879849876	0.932658950416039	0.994124729992627
Aebp2	-0.0620608833079514	0.178771123578243	0.687184439966134
Aen	-0.0314110838223553	0.723931452256197	0.966359957116909
Aes	-0.0194320511096743	0.785494686348576	0.977409913464011
Afap1	-0.0442117942000044	0.593390940756713	0.938594466897895
Afap1l1	-0.255209144654982	0.037248750988039	0.330806291032843
Afap1l2	0.0316080558930048	0.886590940164164	0.988534969392911
Aff1	0.234804557219358	8.58294413756955e-05	0.00468432136212992
Aff2	0.280797550630064	0.0274263735189355	0.280663541706434
Aff3	-0.0595903922464581	0.344161583274484	0.8321268257587
Aff4	-0.021735455978868	0.195891015401136	0.703651432242583
Afg3l1	0.0660166890417204	0.592509880612905	0.938594466897895
Afg3l2	-0.00119250110395721	0.967293664333467	0.99816700223679
Aftph	-0.000464068516857184	0.992273441993734	0.999560212462957
Aga	-0.211034113482393	0.0583338263689701	0.424125955993005
Agap1	0.0114656432805739	0.877618632173698	0.986554508120855
Agap2	0.0385414775809263	0.320746329663372	0.815892406782665
Agap3	0.0489194553666726	0.228764560363271	0.734620046226169
Agbl3	-0.0707468788263994	0.529090340274886	0.918443856960514
Agbl4	-0.0984147665449374	0.446270966177158	0.882253760904823
Agbl5	0.0841405785141089	0.325297747430111	0.818702263213646
Agfg1	0.0103961401748875	0.78786671079846	0.977409913464011
Agfg2	0.0178479745826909	0.836297736823682	0.984029686277922
Aggf1	0.00707684351690157	0.944550164497407	0.99502283478351
Agk	-0.055817949704699	0.254720872582274	0.761661183046743
Agl	-0.0876615738531496	0.293629293081212	0.794147198526889
Ago1	0.069026892992829	0.175261334658253	0.681605872821864
Ago2	0.00638315940862444	0.907081578101799	0.990854372485833
Ago3	-0.00554141635296376	0.946400514077262	0.99502283478351
Ago4	0.0238128023933031	0.857643541071473	0.986106313258111
Agpat1	0.034558240740679	0.626955060995873	0.945162600471875
Agpat3	-0.0659584853163893	0.0550713875523727	0.412228468087167
Agpat4	0.108235728808013	0.333254068136033	0.823935627377438
Agpat5	0.059412597178832	0.263914723974444	0.768409523987353
Agpat9	-0.266079679765264	0.0180118864363827	0.218132220000338
Agps	-0.0422579203632087	0.379260906749107	0.850239507346019
Agrn	-0.0647376477991257	0.00917442324076267	0.139462490220624
Agt	0.138664365469616	0.652688799068782	0.951880163031712
Agtpbp1	-0.0314372360552807	0.517652064065391	0.913690186879346
Agtrap	0.134458115857069	0.25759700919437	0.763120360332151
Ahctf1	0.0703584305205102	0.362297304688856	0.841946330280094
Ahcy	0.0701926697177381	0.443452386294354	0.881450746474511
Ahcyl1	-0.0561341711063179	0.0922165262993524	0.524074506525332
Ahcyl2	-0.00353061592857825	0.952674837803625	0.995229772799997
Ahdc1	-0.0048705060605114	0.949417944405516	0.995121735468692
Ahi1	0.0529344773596649	0.427973158532587	0.875342755519161
Ahnak	0.164638694332987	0.00435945979197339	0.0879631064540037
Ahr	-0.107087967305185	0.415146329205925	0.869526267545597
Ahsa1	-0.00948422020284901	0.883279771436547	0.987672322458347
Ahsa2	-0.0165865546276162	0.754563663302741	0.972159861133284
AI846148	-0.103609358478073	0.340585201846786	0.830038165688634
Aida	0.0127599248040659	0.73819176567751	0.969530320731735
Aif1l	-0.194322932650444	0.116500417963262	0.579762345773493
Aifm1	-0.0721351056666746	0.488291649128724	0.90357658566927
Aifm2	-0.0942272598512638	0.686314061531169	0.958594701201069
Aifm3	-0.0275450968518172	0.836328262699678	0.984029686277922
Aig1	0.02437917132139	0.524890192094751	0.917447035815726
Aimp1	0.0228918357460365	0.779131925004921	0.976765657783565
Aimp2	0.00972841481558148	0.938567830407911	0.994781508532854
Aip	0.0895060721287263	0.191055615941976	0.700706934844624
Ajap1	-0.0547182756919156	0.54993635484226	0.925482121435551
Ajuba	0.137800213563185	0.375667883645145	0.848743287613165
Ak1	-0.0239097479207525	0.641179162699643	0.949481335406555
Ak2	-0.10593100740565	0.44523317070845	0.882225545168237
Ak3	0.0839672283129371	0.0501575425859324	0.388619008816208
Ak4	-0.0852600732169457	0.547214110721067	0.924541330618908
Ak5	0.0959144532288366	0.0852168152171475	0.511012160564008
Ak6	0.0561650482536594	0.676280573824977	0.957820316837585
Akain1	-0.143160946797242	0.234014746005413	0.740002134957261
Akap1	-0.0120200211722269	0.813902251416882	0.980184140730502
Akap10	0.0414425911751674	0.756342778895889	0.972204354478402
Akap11	0.0148231661095955	0.765181702209747	0.973969246245609
Akap12	-0.110919360327475	0.210985469037976	0.719583069228247
Akap13	-0.02915405140399	0.793782438935656	0.979589346414655
Akap17b	0.0135965664025561	0.841175372221036	0.984257809449039
Akap5	-0.0490972327876804	0.357833451682747	0.838667921471349
Akap6	0.00772116571399443	0.887920847901559	0.988626888168637
Akap7	-0.0185573065609534	0.730610567385577	0.968269420741179
Akap8	-0.0197609001528186	0.762261128035684	0.973333619296476
Akap8l	-0.0445508597178283	0.670027283188587	0.95631154162123
Akap9	-0.141066222678221	0.0541488832598314	0.4088059199915
Akirin1	-0.00427690960317468	0.933800647514242	0.994265837439901
Akirin2	-0.103363024867676	0.0548025428243677	0.411733597969128
Akna	0.074131172131576	0.744263764247428	0.970354919032754
Akr1a1	0.0357308713845926	0.338734077708469	0.828476896306631
Akr1b10	-0.280052496332597	0.0171593753441557	0.210691279622145
Akr1b3	0.0881725816180497	0.144516214727692	0.635623423420892
Akr1c18	0.679755824150748	0.00530422123485774	0.0998553978429195
Akr1e1	-0.119341549543444	0.0186450103515918	0.221749065837245
Akr7a5	-0.0504906628264788	0.651638790034764	0.951880163031712
Akt1	-0.0306682389710261	0.458083012960644	0.887698696736792
Akt1s1	-0.0998868181938894	0.256175110437206	0.761661183046743
Akt2	-0.0794478115145158	0.00607549783831263	0.106765025133128
Akt3	0.0108109244637527	0.819778165777154	0.980184140730502
Aktip	-0.101889063319984	0.0690708046468615	0.460558772212039
Alad	-0.0621621811456632	0.594886139134894	0.938622891162185
Alas1	-0.0820069224019443	0.00530205450118504	0.0998553978429195
